,City,Location,Project Name,Property Title,Property Type,Locality,Price,BHK,Area_SqFt_Number,Area_per_SqFt_Price
0,Pune,"Nanded, Pune",Dharmavat Sunder Sanskruti Phase 3,2 BHK 1300 Sq.Ft. Apartment in Dharmavat Sunder Sanskruti Phase 3,Apartment,Nanded,11000000,2,1300,8462.0
1,Pune,"Nanded, Pune",Nanded City Asawari,2 BHK + Extra Room 872 Sq.Ft. Apartment in Nanded City Asawari,Apartment,Nanded,8400000,2,872,9633.0
2,Pune,"Dhanori, Pune",Magnum lifestyle,1 BHK 390 Sq.Ft. Apartment in Magnum lifestyle,Apartment,Dhanori,3500000,1,390,8974.0
3,Pune,"Punawale, Pune",Somani Towers,2 BHK + Pooja Room 626 Sq.Ft. Apartment in Somani Towers,Apartment,Punawale,6000000,2,626,9585.0
4,Pune,"Wadgaon Sheri, Pune",Mika Triton Residency,2 BHK + Extra Room 870 Sq.Ft. Apartment in Mika Triton Residency,Apartment,Wadgaon Sheri,11500000,2,870,13218.0
5,Pune,"Hinjewadi, Pune",Kolte Patil Life Republic,2 BHK + Pooja Room 857 Sq.Ft. Apartment in Kolte Patil Life Republic,Apartment,Hinjewadi,8450000,2,857,9860.0
6,Pune,"Ambegaon Budruk, Pune",Grande View 7 Phase 3,2 BHK + Servant Room 1000 Sq.Ft. Apartment in Grande View 7 Phase 3,Apartment,Ambegaon Budruk,8400000,2,1000,8400.0
7,Pune,"Wagholi, Pune",Bhandari 31 Palma Drive,3 BHK 1090 Sq.Ft. Apartment in Bhandari 31 Palma Drive,Apartment,Wagholi,11999999,3,1090,11009.0
8,Pune,"Erandwane, Pune",Minal CHS Erandwane,3 BHK 1280 Sq.Ft. Apartment in Minal CHS Erandwane,Apartment,Erandwane,26000000,3,1280,20312.0
9,Pune,"Rahatani, Pune",Swastik Pride Homes,2 BHK 707 Sq.Ft. Apartment in Swastik Pride Homes,Apartment,Rahatani,8000000,2,707,11315.0
10,Pune,"Kharadi, Pune",Gera World of Joy,2 BHK + Extra Room 792 Sq.Ft. Apartment in Gera World of Joy,Apartment,Kharadi,0,2,792,0.0
11,Pune,"Akurdi, Pune",Shubhashree Apartmaent Akurdi,2 BHK 850 Sq.Ft. Apartment in Shubhashree Apartmaent Akurdi,Apartment,Akurdi,7500000,2,850,8824.0
12,Pune,"Kharadi, Pune",Kolte Patil Cheryl,2 BHK 890 Sq.Ft. Apartment in Kolte Patil Cheryl,Apartment,Kharadi,11900000,2,890,13371.0
13,Pune,"Baner, Pune",Lodha Massimo,"4 BHK + Pooja Room,Servant Room,Study Room,Extra Room 2056 Sq.Ft. Apartment in Lodha Massimo",Apartment,Baner,50000000,4,2056,24319.0
14,Pune,"Aundh, Pune",Venkatesh Shakuntala,1 BHK 485 Sq.Ft. Apartment in Venkatesh Shakuntala,Apartment,Aundh,6500000,1,485,13402.0
15,Pune,"Kharadi, Pune",Mittal Silver Crescent,2 BHK + Pooja Room 1080 Sq.Ft. Apartment in Mittal Silver Crescent,Apartment,Kharadi,8500000,2,1080,7870.0
16,Pune,"Dhayari, Pune",BK Chavan Ramkrushna Park,1 BHK 450 Sq.Ft. Apartment in BK Chavan Ramkrushna Park,Apartment,Dhayari,4370712,1,450,9713.0
17,Pune,"Bavdhan, Pune",Grace Apartment Bavdhan,2 BHK 630 Sq.Ft. Apartment in Grace Apartment Bavdhan,Apartment,Bavdhan,7800000,2,630,12381.0
18,Pune,"Mundhwa, Pune",Alcon Silverleaf,2 BHK 975 Sq.Ft. Apartment in Alcon Silverleaf,Apartment,Mundhwa,9000000,2,975,9231.0
19,Pune,"Nibm Road, Pune",Ekta California,5 BHK + Servant Room 2800 Sq.Ft. Apartment in Ekta California,Apartment,Nibm Road,26500000,5,2800,9464.0
20,Pune,"Mamurdi, Pune",Little Earth Apartments,2 BHK 569 Sq.Ft. Apartment in Little Earth Apartments,Apartment,Mamurdi,7169000,2,569,12599.0
21,Pune,"Alandi Road, Pune",Expat Genesis,3 BHK 1441 Sq.Ft. Apartment in Expat Genesis,Apartment,Alandi Road,11800000,3,1441,8189.0
22,Pune,"Vadgaon Budruk, Pune",Venkatesh Skylife,3 BHK + Pooja Room 1220 Sq.Ft. Apartment in Venkatesh Skylife,Apartment,Vadgaon Budruk,18802322,3,1220,15412.0
23,Pune,"Tathawade, Pune",Goel Ganga Amber,1 BHK + Extra Room 520 Sq.Ft. Apartment in Goel Ganga Amber,Apartment,Tathawade,5200000,1,520,10000.0
24,Pune,"Mundhwa, Pune",Goel Ganga Orchard,2 BHK 1050 Sq.Ft. Apartment in Goel Ganga Orchard,Apartment,Mundhwa,11500000,2,1050,10952.0
25,Pune,"Wagholi, Pune",Goyal My Home Upper Kharadi,3 BHK + Pooja Room 1210 Sq.Ft. Apartment in Goyal My Home Upper Kharadi,Apartment,Wagholi,11000000,3,1210,9091.0
26,Pune,"Nibm Road, Pune",Lodha Bella Vita,2 BHK 814 Sq.Ft. Apartment in Lodha Bella Vita,Apartment,Nibm Road,9500000,2,814,11671.0
27,Pune,"Wakad, Pune",Safal Oneiro,2 BHK + Pooja Room 900 Sq.Ft. Apartment in Safal Oneiro,Apartment,Wakad,9000000,2,900,10000.0
28,Pune,"Bhugaon, Pune",Skyi Songbirds,2 BHK + Pooja Room 825 Sq.Ft. Apartment in Skyi Songbirds,Apartment,Bhugaon,10000000,2,825,12121.0
29,Pune,"Bavdhan, Pune",Ganga Legend,2 BHK 650 Sq.Ft. Apartment in Ganga Legend,Apartment,Bavdhan,8500000,2,650,13077.0
30,Pune,"Kondhwa Budruk, Pune",Paramount Eros Apartment,2.5 BHK + Pooja Room 1157 Sq.Ft. Apartment in Paramount Eros Apartment,Apartment,Kondhwa Budruk,8200000,5,1157,7087.0
31,Pune,"Punawale, Pune",Somani Dream Home,3 BHK 912 Sq.Ft. Apartment in Somani Dream Home,Apartment,Punawale,7800000,3,912,8553.0
32,Pune,"Salisbury Park, Pune",West View Society,4 BHK + Pooja Room 1961 Sq.Ft. Apartment in West View Society,Apartment,Salisbury Park,51000000,4,1961,26007.0
33,Pune,"Vishal Nagar, Pune",Mangalmurti Apartments,1 BHK 490 Sq.Ft. Apartment in Mangalmurti Apartments,Apartment,Vishal Nagar,5400000,1,490,11020.0
34,Pune,"Moshi, Pune",Shree Shankeshwar Sparsh,2 BHK + Study Room 660 Sq.Ft. Builder Floor in Shree Shankeshwar Sparsh,Builder Floor,Moshi,4400000,2,660,6667.0
35,Pune,"Undri, Pune",Gagan Ela,2 BHK 736 Sq.Ft. Apartment in Gagan Ela,Apartment,Undri,7200000,2,736,9783.0
