,City,Project Name,Property Type,Locality,BHK,Area_SqFt_Number,Area_per_SqFt_Price,Affordability,Price_in_Lakh,City_Project
0,Pune,Dharmavat Sunder Sanskruti Phase 3,Apartment,Nanded,2,1300,8462,Highly Affordable,110,Pune - Dharmavat Sunder Sanskruti Phase 3
1,Pune,Nanded City Asawari,Apartment,Nanded,2,872,9633,Highly Affordable,84,Pune - Nanded City Asawari
2,Pune,Magnum lifestyle,Apartment,Dhanori,1,390,8974,Highly Affordable,35,Pune - Magnum lifestyle
3,Pune,Somani Towers,Apartment,Punawale,2,626,9585,Highly Affordable,60,Pune - Somani Towers
4,Pune,Mika Triton Residency,Apartment,Wadgaon Sheri,2,870,13218,Highly Affordable,115,Pune - Mika Triton Residency
5,Pune,Kolte Patil Life Republic,Apartment,Hinjewadi,2,857,9860,Highly Affordable,84,Pune - Kolte Patil Life Republic
6,Pune,Grande View 7 Phase 3,Apartment,Ambegaon Budruk,2,1000,8400,Highly Affordable,84,Pune - Grande View 7 Phase 3
7,Pune,Bhandari 31 Palma Drive,Apartment,Wagholi,3,1090,11009,Highly Affordable,119,Pune - Bhandari 31 Palma Drive
8,Pune,Minal CHS Erandwane,Apartment,Erandwane,3,1280,20312,Moderately Affordable,260,Pune - Minal CHS Erandwane
9,Pune,Swastik Pride Homes,Apartment,Rahatani,2,707,11315,Highly Affordable,80,Pune - Swastik Pride Homes
10,Pune,Shubhashree Apartmaent Akurdi,Apartment,Akurdi,2,850,8824,Highly Affordable,75,Pune - Shubhashree Apartmaent Akurdi
11,Pune,Kolte Patil Cheryl,Apartment,Kharadi,2,890,13371,Highly Affordable,119,Pune - Kolte Patil Cheryl
12,Pune,Lodha Massimo,Apartment,Baner,4,2056,24319,Moderately Affordable,500,Pune - Lodha Massimo
13,Pune,Venkatesh Shakuntala,Apartment,Aundh,1,485,13402,Highly Affordable,65,Pune - Venkatesh Shakuntala
14,Pune,Mittal Silver Crescent,Apartment,Kharadi,2,1080,7870,Highly Affordable,85,Pune - Mittal Silver Crescent
15,Pune,BK Chavan Ramkrushna Park,Apartment,Dhayari,1,450,9713,Highly Affordable,43,Pune - BK Chavan Ramkrushna Park
16,Pune,Grace Apartment Bavdhan,Apartment,Bavdhan,2,630,12381,Highly Affordable,78,Pune - Grace Apartment Bavdhan
17,Pune,Alcon Silverleaf,Apartment,Mundhwa,2,975,9231,Highly Affordable,90,Pune - Alcon Silverleaf
18,Pune,Ekta California,Apartment,Nibm Road,5,2800,9464,Moderately Affordable,265,Pune - Ekta California
19,Pune,Little Earth Apartments,Apartment,Mamurdi,2,569,12599,Highly Affordable,71,Pune - Little Earth Apartments
20,Pune,Expat Genesis,Apartment,Alandi Road,3,1441,8189,Highly Affordable,118,Pune - Expat Genesis
21,Pune,Venkatesh Skylife,Apartment,Vadgaon Budruk,3,1220,15412,Highly Affordable,188,Pune - Venkatesh Skylife
22,Pune,Goel Ganga Amber,Apartment,Tathawade,1,520,10000,Highly Affordable,52,Pune - Goel Ganga Amber
23,Pune,Goel Ganga Orchard,Apartment,Mundhwa,2,1050,10952,Highly Affordable,115,Pune - Goel Ganga Orchard
24,Pune,Goyal My Home Upper Kharadi,Apartment,Wagholi,3,1210,9091,Highly Affordable,110,Pune - Goyal My Home Upper Kharadi
25,Pune,Lodha Bella Vita,Apartment,Nibm Road,2,814,11671,Highly Affordable,95,Pune - Lodha Bella Vita
26,Pune,Safal Oneiro,Apartment,Wakad,2,900,10000,Highly Affordable,90,Pune - Safal Oneiro
27,Pune,Skyi Songbirds,Apartment,Bhugaon,2,825,12121,Highly Affordable,100,Pune - Skyi Songbirds
28,Pune,Ganga Legend,Apartment,Bavdhan,2,650,13077,Highly Affordable,85,Pune - Ganga Legend
29,Pune,Paramount Eros Apartment,Apartment,Kondhwa Budruk,5,1157,7087,Highly Affordable,82,Pune - Paramount Eros Apartment
30,Pune,Somani Dream Home,Apartment,Punawale,3,912,8553,Highly Affordable,78,Pune - Somani Dream Home
31,Pune,West View Society,Apartment,Salisbury Park,4,1961,26007,Moderately Affordable,510,Pune - West View Society
32,Pune,Mangalmurti Apartments,Apartment,Vishal Nagar,1,490,11020,Highly Affordable,54,Pune - Mangalmurti Apartments
33,Pune,Shree Shankeshwar Sparsh,Builder Floor,Moshi,2,660,6667,Highly Affordable,44,Pune - Shree Shankeshwar Sparsh
34,Pune,Gagan Ela,Apartment,Undri,2,736,9783,Highly Affordable,72,Pune - Gagan Ela
35,Pune,Kalpataru Estate,Apartment,Pimple Gurav,2,1300,8846,Highly Affordable,115,Pune - Kalpataru Estate
36,Pune,GK Rose County,Apartment,Pimple Saudagar,5,980,10204,Highly Affordable,100,Pune - GK Rose County
37,Pune,Silver Paradise Pimple Gurav,Apartment,Pimple Gurav,2,744,12231,Highly Affordable,91,Pune - Silver Paradise Pimple Gurav
38,Pune,Ganga Legend,Apartment,Bavdhan,2,840,9881,Highly Affordable,83,Pune - Ganga Legend
39,Pune,Riviera Society,Apartment,Wanwadi,2,1300,5538,Highly Affordable,72,Pune - Riviera Society
40,Pune,Goel Ganga Hamlet,Apartment,Viman Nagar,3,1600,11875,Highly Affordable,190,Pune - Goel Ganga Hamlet
41,Pune,Karia Konark Orchid,Apartment,Wagholi,2,1045,8134,Highly Affordable,85,Pune - Karia Konark Orchid
42,Pune,Nyati Era,Apartment,Dhanori,3,1175,10213,Highly Affordable,120,Pune - Nyati Era
43,Pune,The Gen Meraki,Apartment,Pashan,2,916,15830,Highly Affordable,145,Pune - The Gen Meraki
44,Pune,Bramhacorp The Collection,Apartment,Kalyani Nagar,3,1090,15138,Highly Affordable,165,Pune - Bramhacorp The Collection
45,Pune,Pride Aashiyana,Apartment,Dhanori,3,979,10010,Highly Affordable,98,Pune - Pride Aashiyana
46,Pune,VTP Belair,Apartment,Bhoirwadi,3,962,10395,Highly Affordable,100,Pune - VTP Belair
47,Pune,Dugad Panache,Apartment,Kalyani Nagar,2,931,18797,Highly Affordable,175,Pune - Dugad Panache
48,Pune,Magarpatta Nova Residency,Apartment,Mundhwa,5,960,10417,Highly Affordable,100,Pune - Magarpatta Nova Residency
49,Pune,BD Blossom,Apartment,Baner,2,950,10000,Highly Affordable,95,Pune - BD Blossom
50,Pune,Organic Dhanorina,Apartment,Dhanori,5,1140,6579,Highly Affordable,75,Pune - Organic Dhanorina
51,Pune,Pristine Meadows,Apartment,Wagholi,2,1050,5429,Highly Affordable,57,Pune - Pristine Meadows
52,Pune,SSD Sai Dreams,Apartment,Pimple Saudagar,5,1250,10240,Highly Affordable,128,Pune - SSD Sai Dreams
53,Pune,Kumar Kunj,Apartment,Fatima Nagar,5,1420,6338,Highly Affordable,90,Pune - Kumar Kunj
54,Pune,Pethkar Samrajya,Apartment,Kothrud,3,1500,18333,Moderately Affordable,275,Pune - Pethkar Samrajya
55,Pune,Puranik Sayama,Apartment,Lonavala,3,1700,14706,Highly Affordable,250,Pune - Puranik Sayama
