City,Location,Project Name,Property Title,Property Type,Unit Type,Area,Price (₹),Agent Name,Property Link
Pune,"Hinjewadi, Pune",Vinode Vantage Capital,1050 Sq.Ft. Retail Shop in Vinode Vantage Capital,Shop,Shop,Hinjewadi,38000000,Vinit Mali,https://www.squareyards.com/resale-1050-sq-ft-retail-shop-in-vinode-vantage-capital/9375744
,"Keshav Nagar, Pune",,,,,,,,
Pune,"Nanded, Pune",Dharmavat Sunder Sanskruti Phase 3,2 BHK 1300 Sq.Ft. Apartment in Dharmavat Sunder Sanskruti Phase 3,Apartment,2 BHK,Nanded,11000000,GHODKE PROPERTY ,https://www.squareyards.com/resale-2-bhk-1300-sq-ft-apartment-in-dharmavat-sunder-sanskruti-phase-3/9305850
Pune,"Nanded, Pune",Nanded City Asawari,2 BHK + Extra Room 872 Sq.Ft. Apartment in Nanded City Asawari,Apartment,2 BHK,Nanded,8400000,Preet Properties ,https://www.squareyards.com/resale-2-bhk-extra-room-872-sq-ft-apartment-in-nanded-city-asawari/9386380
Pune,"Dhanori, Pune",Magnum lifestyle,1 BHK 390 Sq.Ft. Apartment in Magnum lifestyle,Apartment,1 BHK,Dhanori,3500000,MUSHTAK IBRAHIM SHAIKH ,https://www.squareyards.com/resale-1-bhk-390-sq-ft-apartment-in-magnum-lifestyle/9387716
,"Hinjewadi, Pune",,,,,,,,
Pune,"Punawale, Pune",Somani Towers,2 BHK + Pooja Room 626 Sq.Ft. Apartment in Somani Towers,Apartment,2 BHK,Punawale,6000000,Sudhir pandurang Misal ,https://www.squareyards.com/resale-2-bhk-pooja-room-626-sq-ft-apartment-in-somani-towers/9386944
Pune,"Baner, Pune",,1700 Sq.Ft. Office Space in Baner,Office Space,Office Space,Baner,24000000,Adcon Realty Pvt Ltd ,https://www.squareyards.com/resale-1700-sq-ft-office-space-in-baner/9381569
Pune,"Wadgaon Sheri, Pune",Mika Triton Residency,2 BHK + Extra Room 870 Sq.Ft. Apartment in Mika Triton Residency,Apartment,2 BHK,Wadgaon Sheri,11500000,Atul killekar ,https://www.squareyards.com/resale-2-bhk-extra-room-870-sq-ft-apartment-in-mika-triton-residency/9390111
,"Hinjewadi, Pune",,,,,,,,
Pune,"Hinjewadi, Pune",Kolte Patil Life Republic,2 BHK + Pooja Room 857 Sq.Ft. Apartment in Kolte Patil Life Republic,Apartment,2 BHK,Hinjewadi,8450000,pokale Vishwambhar prakash ,https://www.squareyards.com/resale-2-bhk-pooja-room-857-sq-ft-apartment-in-kolte-patil-life-republic/9317668
Pune,"Senapati Bapat Road, Pune",,2.5 BHK + Pooja Room 1350 Sq.Ft. Apartment in Senapati Bapat Road,Apartment,2.5 BHK,Senapati Bapat Road,19500000,DIVI Realtors ,https://www.squareyards.com/resale-2-5-bhk-pooja-room-1350-sq-ft-apartment-in-senapati-bapat-road/9321335
Pune,"Ambegaon Budruk, Pune",Grande View 7 Phase 3,2 BHK + Servant Room 1000 Sq.Ft. Apartment in Grande View 7 Phase 3,Apartment,2 BHK,Ambegaon Budruk,8400000,Nagesh Raghu Burange ,https://www.squareyards.com/resale-2-bhk-servant-room-1000-sq-ft-apartment-in-grande-view-7-phase-3/9293417
,"Mahalunge, Pune",,,,,,,,
Pune,"Wagholi, Pune",Bhandari 31 Palma Drive,3 BHK 1090 Sq.Ft. Apartment in Bhandari 31 Palma Drive,Apartment,3 BHK,Wagholi,11999999,Santosh Gungase ,https://www.squareyards.com/resale-3-bhk-1090-sq-ft-apartment-in-bhandari-31-palma-drive/9359502
Pune,"Erandwane, Pune",Minal CHS Erandwane,3 BHK 1280 Sq.Ft. Apartment in Minal CHS Erandwane,Apartment,3 BHK,Erandwane,26000000,MAHESH MADHUKAR GAIKWAD ,https://www.squareyards.com/resale-3-bhk-1280-sq-ft-apartment-in-minal-chs-erandwane/9309678
Pune,"Rahatani, Pune",Swastik Pride Homes,2 BHK 707 Sq.Ft. Apartment in Swastik Pride Homes,Apartment,2 BHK,Rahatani,8000000,PRISM PROFESSIONAL SERVICES ,https://www.squareyards.com/resale-2-bhk-707-sq-ft-apartment-in-swastik-pride-homes/9298141
,"Hinjewadi, Pune",,,,,,,,
